subject,session,data_source,structured_data,channel,signal,stimulus,block,mean_baseline,std_baseline,mean_task,std_task,task_minus_baseline,area_under_curve_task,time_to_peak,time_to_nadir
105,1,1,1,7,2,1,1,-0.15982,0.59228,0.068773,0.6805,0.22859,3.0507,6,35
105,1,1,1,8,1,1,1,-1.0873,1.2616,1.1301,1.9471,2.2174,57.696,17,36
105,1,1,1,8,2,1,1,0.036191,0.3038,-0.37062,0.43279,-0.40681,-19.352,49,30
105,1,1,1,9,1,1,1,-0.55055,1.1233,0.96034,1.6461,1.5109,49.998,15,35
105,1,1,1,9,2,1,1,0.034571,0.53533,0.18575,0.75199,0.15118,9.1388,10,35
105,1,1,1,10,1,1,1,-0.652,1.2241,0.86691,1.854,1.5189,46.476,30,44
105,1,1,1,10,2,1,1,0.051814,0.63838,0.019111,0.55733,-0.032703,1.5918,30,48
105,1,1,1,11,1,1,1,-0.66767,1.028,0.75723,1.6281,1.4249,39.197,17,36
105,1,1,1,11,2,1,1,-0.042179,0.44243,0.082546,0.59204,0.12472,3.7589,4,37
105,1,1,1,12,1,1,1,-0.38935,0.71379,0.82261,1.4113,1.212,43.436,20,44
105,1,1,1,12,2,1,1,0.47473,0.77533,0.31498,0.98138,-0.15975,17.681,30,52
105,1,1,1,13,1,1,1,-0.74204,1.3977,0.68216,1.9598,1.4242,37.063,30,1
105,1,1,1,13,2,1,1,-0.45017,0.77242,0.3125,0.96602,0.76267,16.593,30,45
105,1,1,1,15,1,1,1,1.0707,3.6216,-0.040506,4.4736,-1.1112,4.0419,37,2
105,1,1,1,15,2,1,1,-1.0269,1.7069,0.66665,1.738,1.6936,35.861,25,46
105,1,1,1,17,1,1,1,-0.59267,1.4816,0.70928,1.6513,1.302,35.688,12,35
105,1,1,1,17,2,1,1,0.13592,0.32012,-0.25145,0.43322,-0.38737,-13.066,48,19
105,1,1,1,18,1,1,1,-0.3222,1.9777,0.95953,2.7521,1.2817,52.76,30,1
105,1,1,1,18,2,1,1,-0.60729,0.65705,0.37672,0.79443,0.98401,18.989,25,44
105,1,1,1,19,1,1,1,-0.1838,1.12,1.5459,2.779,1.7297,81.714,24,44
105,1,1,1,19,2,1,1,0.19127,0.32311,-0.13716,0.45742,-0.32844,-7.476,7,35
105,1,1,1,20,1,1,1,0.5784,3.5349,0.80273,4.3115,0.22433,47.638,30,1
105,1,1,1,20,2,1,1,-0.50041,1.1272,1.0064,1.9974,1.5068,52.64,24,45
105,1,1,1,21,1,1,1,-0.62635,1.0505,1.2993,2.2884,1.9256,68.78,24,45
105,1,1,1,21,2,1,1,0.074223,0.5515,-0.12155,0.76019,-0.19577,-7.1769,52,35
105,1,1,1,22,1,1,1,-0.90486,1.1554,0.93341,1.9072,1.8383,48.241,17,36
105,1,1,1,22,2,1,1,-0.30778,0.37716,-0.074262,0.50411,0.23352,-4.2217,49,36
105,1,1,1,23,1,1,1,-0.85243,1.1744,1.1758,2.013,2.0282,62.037,24,44
105,1,1,1,23,2,1,1,0.18606,0.49388,-0.28852,0.68052,-0.47458,-15.857,51,30
105,1,1,1,24,1,1,1,-0.78307,1.0639,0.81043,1.5806,1.5935,41.982,17,36
105,1,1,1,24,2,1,1,-0.012766,0.57913,-0.072764,0.5288,-0.059997,-4.4022,49,35
106,1,1,1,1,1,1,1,-0.61813,3.2563,1.5913,4.0481,2.2094,84.341,29,48
106,1,1,1,1,2,1,1,0.15182,1.6671,-0.15147,1.0692,-0.3033,-7.5344,49,42
106,1,1,1,2,1,1,1,1.283,4.8509,0.50506,4.7589,-0.77794,31.201,30,49
106,1,1,1,2,2,1,1,-1.81,1.9527,-0.49956,1.7102,1.3104,-26.599,48,25
106,1,1,1,3,1,1,1,-2.5238,2.4464,1.3883,3.7014,3.9121,69.948,25,34
106,1,1,1,3,2,1,1,0.20689,0.68081,0.34099,0.8034,0.1341,18.852,26,1
106,1,1,1,4,1,1,1,-0.47107,2.9304,0.7527,4.0757,1.2238,42.408,24,4
106,1,1,1,4,2,1,1,-0.29324,1.4221,0.0267,1.3623,0.31994,-0.091472,49,29
106,1,1,1,6,1,1,1,-1.692,2.5616,1.7497,4.661,3.4417,93.161,26,38
106,1,1,1,6,2,1,1,-0.49669,1.3991,0.98073,1.7835,1.4774,50.071,12,38
106,1,1,1,8,1,1,1,-1.8153,2.9757,1.5068,4.1568,3.3221,76.58,25,35
106,1,1,1,8,2,1,1,-0.39429,0.62094,0.56877,1.1213,0.96305,30.039,26,38
106,1,1,1,9,1,1,1,-0.80032,2.4867,1.1664,4.1681,1.9668,62.714,24,7
106,1,1,1,9,2,1,1,-0.16631,0.95427,0.1716,0.81866,0.33791,8.5205,47,35
106,1,1,1,10,1,1,1,0.48148,1.7158,0.35489,1.8991,-0.12659,19.147,25,48
106,1,1,1,10,2,1,1,-1.2829,0.71581,0.18453,0.52236,1.4674,8.9054,49,40
106,1,1,1,11,1,1,1,-1.2379,1.9019,1.1183,3.5059,2.3561,57.88,24,36
106,1,1,1,11,2,1,1,-0.17564,0.47761,0.13118,0.63231,0.30682,7.1626,21,40
106,1,1,1,12,1,1,1,-0.96498,1.767,0.55807,2.6267,1.523,29.2,24,4
106,1,1,1,12,2,1,1,-0.1119,0.3751,-0.52607,0.9246,-0.41417,-27.348,49,25
106,1,1,1,14,1,1,1,-1.1016,1.8845,0.82649,2.6348,1.9281,39.155,51,36
106,1,1,1,14,2,1,1,0.23381,1.4605,-0.72376,1.9069,-0.95757,-35.589,35,21
106,1,1,1,17,1,1,1,-1.8051,1.2947,1.0936,2.934,2.8987,54.402,19,36
106,1,1,1,17,2,1,1,-0.042582,0.51185,-0.07818,0.60499,-0.035597,-3.9459,10,22
106,1,1,1,20,1,1,1,4.1696,4.5157,2.0899,4.4171,-2.0796,109.44,29,49
106,1,1,1,20,2,1,1,-3.6404,1.6237,-1.3281,2.6047,2.3123,-68.249,48,8
106,1,1,1,21,1,1,1,-1.4722,4.0418,1.667,4.408,3.1391,85.497,30,45
106,1,1,1,21,2,1,1,-0.33775,1.0946,-0.34304,1.1452,-0.0052896,-18.914,49,38
106,1,1,1,22,1,1,1,-1.5092,1.6489,0.82916,2.6614,2.3384,41.332,23,37
106,1,1,1,22,2,1,1,-0.25927,0.37093,0.050313,0.43089,0.30959,2.4276,48,34
106,1,1,1,23,1,1,1,-0.54388,4.6183,1.8249,5.1638,2.3688,93.872,30,47
106,1,1,1,23,2,1,1,-0.65362,1.43,-0.59982,1.6967,0.0538,-31.581,49,25
106,1,1,1,24,1,1,1,-1.9636,3.2852,2.0954,4.5773,4.0589,107.19,29,37
106,1,1,1,24,2,1,1,-0.301,0.71293,0.020579,0.65725,0.32158,0.90079,49,42
108,1,1,1,1,1,1,1,-2.1864,2.3535,2.329,4.4555,4.5154,118.42,15,37
108,1,1,1,1,2,1,1,0.396,1.0887,-0.58578,1.2353,-0.98178,-28.28,38,1
108,1,1,1,2,1,1,1,-1.8901,2.6421,2.6689,5.0346,4.559,139.32,21,43
108,1,1,1,2,2,1,1,1.2204,0.9649,-0.16038,0.56685,-1.3808,-6.7261,44,52
108,1,1,1,3,1,1,1,-1.8905,2.8302,3.0091,4.9976,4.8996,152.87,15,38
108,1,1,1,3,2,1,1,-0.32342,1.0002,-0.066315,0.99447,0.2571,-4.6031,48,37
108,1,1,1,4,1,1,1,-1.7848,2.0053,2.315,4.3641,4.0998,119.84,18,43
108,1,1,1,4,2,1,1,0.25462,0.49773,-0.021141,0.59328,-0.27576,-0.069699,23,52
108,1,1,1,6,1,1,1,-1.3712,2.6933,3.4851,5.8473,4.8562,181.49,21,44
108,1,1,1,6,2,1,1,0.025083,0.33639,0.097671,0.44167,0.072588,5.2826,8,41
108,1,1,1,7,1,1,1,-2.2268,2.0484,2.0263,4.5229,4.253,101.37,14,37
108,1,1,1,7,2,1,1,0.68625,1.1855,-0.17433,1.4179,-0.86059,-6.7555,29,1
108,1,1,1,8,1,1,1,-1.2858,3.3896,3.4448,5.5025,4.7306,180.48,20,46
108,1,1,1,8,2,1,1,-0.0060534,0.98172,0.60763,1.1452,0.61368,32.973,30,52
108,1,1,1,9,1,1,1,-2.1819,2.2283,2.8704,5.0955,5.0523,146,15,38
108,1,1,1,9,2,1,1,-0.10876,0.28582,-0.091623,0.44217,0.01714,-4.1514,45,1
108,1,1,1,10,1,1,1,-2.1742,1.8373,1.5441,3.5918,3.7184,76.857,8,37
108,1,1,1,10,2,1,1,0.56822,0.6596,0.26743,0.94666,-0.30079,14.039,6,41
108,1,1,1,11,1,1,1,-1.4874,1.8336,2.3444,3.6735,3.8318,120.59,19,38
108,1,1,1,11,2,1,1,-0.10836,0.47595,-0.025105,0.45818,0.083259,-0.70791,46,1
108,1,1,1,13,1,1,1,-2.7427,2.5225,1.1046,2.9581,3.8473,55.448,19,38
108,1,1,1,13,2,1,1,-0.046762,0.77393,0.34822,1.0743,0.39498,17.806,29,42
108,1,1,1,14,1,1,1,-2.1759,2.2995,1.6872,3.5835,3.8631,84.007,16,36
108,1,1,1,14,2,1,1,-0.058595,0.64754,-0.36997,0.54514,-0.31138,-19.015,49,43
108,1,1,1,16,1,1,1,-2.0788,2.2973,2.2588,4.3942,4.3376,115.12,17,37
108,1,1,1,16,2,1,1,0.13624,0.70259,-0.47691,0.83677,-0.61315,-24.863,46,17
108,1,1,1,17,1,1,1,-1.6853,2.3476,2.6913,4.3539,4.3766,137.6,19,44
108,1,1,1,17,2,1,1,-0.13628,0.5722,0.14053,0.51439,0.27681,7.4678,30,40
108,1,1,1,18,1,1,1,-2.4397,2.725,0.97027,3.7975,3.41,46.901,8,37
108,1,1,1,18,2,1,1,-0.1191,0.94261,-0.19408,1.0146,-0.074988,-9.1905,44,11
108,1,1,1,19,1,1,1,-1.6125,2.1218,2.1094,4.109,3.7219,108.16,17,37
108,1,1,1,19,2,1,1,-0.32285,1.1286,-0.44838,1.1656,-0.12553,-24.445,46,36
108,1,1,1,20,1,1,1,-2.3803,2.0053,2.2796,3.9118,4.6598,117.23,14,37
108,1,1,1,20,2,1,1,-0.21095,0.51685,-0.52908,1.2902,-0.31813,-27.34,44,17
108,1,1,1,21,1,1,1,-1.9324,2.4854,2.0275,4.0117,3.9598,102.59,15,37
108,1,1,1,21,2,1,1,0.013997,0.50966,0.087388,0.29566,0.073392,4.8479,28,51
108,1,1,1,22,1,1,1,-1.2748,1.5194,1.569,2.7949,2.8438,79.388,18,38
108,1,1,1,22,2,1,1,-0.15536,0.75072,-0.15322,0.67778,0.0021348,-8.8383,49,39
108,1,1,1,23,1,1,1,-1.7671,1.9843,2.0986,3.6573,3.8657,107.22,20,37
108,1,1,1,23,2,1,1,-0.2916,0.38179,-0.31927,0.83867,-0.027674,-17.059,46,38
108,1,1,1,24,1,1,1,-1.5419,2.1348,2.3085,3.7685,3.8504,118.6,22,38
108,1,1,1,24,2,1,1,0.16259,0.43731,-0.083227,0.4105,-0.24582,-4.4613,35,42
109,1,1,1,1,1,1,1,-0.39808,1.7986,0.87561,2.9532,1.2737,47.576,19,35
109,1,1,1,1,2,1,1,-0.34171,1.4961,0.39738,1.2975,0.73909,20.632,30,42
109,1,1,1,2,1,1,1,-0.28855,3.5166,-0.069288,2.3917,0.21926,-3.5708,43,34
109,1,1,1,2,2,1,1,-0.26753,0.67673,-0.35886,1.4532,-0.091333,-21.577,52,18
109,1,1,1,4,1,1,1,1.1018,1.8445,-0.02346,1.5958,-1.1253,-1.0351,11,38
109,1,1,1,4,2,1,1,1.1701,0.54839,-0.74154,1.8017,-1.9116,-40.53,52,5
109,1,1,1,5,1,1,1,1.9279,1.2929,-1.4757,4.7633,-3.4035,-76.076,41,5
109,1,1,1,5,2,1,1,1.8688,0.60507,-1.358,2.7402,-3.2268,-72.948,52,5
109,1,1,1,6,1,1,1,-0.46471,1.5929,0.6178,2.1156,1.0825,31.415,10,39
